user,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20
user_66,,,,,7,9,,,8,,,,4,,,,,5,,1
user_67,8,,,,,6,,,,5,9,3,,9,,,,8,,
user_68,9,5,,,,,,9,3,4,,,3,4,5,4,2,9,,
user_69,,,8,9,6,,3,,,,,,4,,,1,6,6,,
user_70,,,8,,7,,4,3,,,,,,,3,,,,,5
user_71,,9,,4,,,,,7,,,5,,,,4,,,,
user_72,,7,,,6,,,,,3,9,,,,3,,4,,4,
user_73,,,,,,,3,,8,9,,,,,5,5,,5,,
user_74,,,,1,,4,,4,,6,9,,,7,4,,4,9,,
user_75,,,,,,,5,,,,,3,,,,5,,,3,7
user_76,5,,,5,,9,,,,,,,8,,,,5,,,4
user_77,,,8,,,,8,,,8,,,,8,,,,7,,
user_78,,6,,5,8,,7,8,2,4,,,,,,,7,,,5
user_79,,4,,,,3,3,,,8,,8,,,4,,,7,,
user_80,,7,,,4,,,,6,,,,5,,,,,,,
user_81,,,,,2,,,,,,3,,,,6,7,,,7,7
user_82,,8,,,6,,3,4,,,,,,,,,,,10,1
user_83,,,,4,,,,8,,,,4,,4,,4,,,,
user_84,8,,,4,,,,,6,9,,5,,,,,8,,,5
user_85,,6,8,9,,,3,2,3,8,,,,,3,,,,,
user_86,,,5,,,,7,9,3,,,,,,9,4,,,,
user_87,6,8,,,,,,,3,,,,,,,4,7,,,
user_88,,4,,5,1,,,10,3,,1,,,5,,,,,3,
user_89,,,,,3,4,8,9,,,,,5,,,,,,,8
user_90,4,7,,,,,8,,,,,,,,8,,,7,3,
user_91,,,,,,,,4,7,,1,,5,,,,9,5,,7
user_92,,10,,,,6,3,,,,6,4,,9,,3,8,2,,
user_93,8,,,,4,6,2,,,,,,7,,,3,,,8,
user_94,,,,8,,,,,,,3,8,5,,,,,,7,
user_95,2,,,5,,,,5,,,,,,3,4,,,,,6
user_96,,,,1,,4,4,,,,,,,8,,,5,,,
user_97,,6,,,,,,,,6,2,7,,,,,4,,4,
user_98,3,,7,,,,10,,5,,,7,,,,7,,,,7
user_99,3,,,,,3,3,,,8,,,5,,3,,,5,,
user_100,,6,,,,7,,,,3,,2,4,,,4,,,,
